time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
1.05,0.02515212416880213,-2.7464478820287823,0.5320034616592167,-0.0024888830101032345,0.7666310108678756,0.10865727001803614,0.9999923340022427,0.003426470290994059,0.0003315196417583919,0.0018658330500725667,-0.0036131847754480055,-0.0003104235720245108,-0.002117591595095241
1.1,0.025030712696886767,-2.7060703697183723,0.5376250303343408,-0.002367575866511247,0.848469481548522,0.11620547698692553,0.9999927337969835,0.003337377762435828,0.00032386750703221903,0.0018136628395858316,-0.0035140307334918528,-0.000302758988017303,-0.002056318742743988
1.1500000000000001,0.024915234259350827,-2.661539635501151,0.5436140636479473,-0.0022515616349263984,0.9327598871403331,0.1233558555573308,0.9999931121704695,0.003250734017495372,0.00031640590199513057,0.0017630165691586233,-0.003417289639918818,-0.0002951290413015442,-0.0019956615597492918
1.2000000000000002,0.024805389476112435,-2.6127432553217647,0.5499483566039984,-0.0021422296946093065,1.0190953200351174,0.130015862684713,0.9999934702683428,0.003166475938901963,0.0003091315061221749,0.0017138519973671981,-0.0033231845887445647,-0.00028773274186610215,-0.0019377690811192155
1.25,0.024700879471771145,-2.559589688826805,0.5566011802165665,-0.0020381704790422704,1.1070473397632832,0.13609708181800673,0.9999938091957563,0.003084540584641355,0.00030203964168178257,0.0016661187681384013,-0.003231478433890939,-0.0002804818686855311,-0.001881141044695091
1.3,0.02460144662801848,-2.502009014157776,0.5635415163949542,-0.001939143271064382,1.196179646997878,0.14151636531750333,0.9999941299702645,0.0030048683260315446,0.00029512646100691054,0.001619781429903027,-0.0031421435037451255,-0.0002733947137663298,-0.0018260854584866131
1.35,0.024506845352330657,-2.439953316501846,0.5707343427638191,-0.001844907756448468,1.286048259239326,0.1461966894370907,0.9999944335638598,0.0029274007137813727,0.0002883879460992863,0.0015748012256921135,-0.003055113051348168,-0.00026646756665082245,-0.001772558646935686
1.4000000000000001,0.02441684199910298,-2.373396997120403,0.5781409587283914,-0.001755226372658682,1.3762045160183876,0.15006794914580354,0.9999947208963882,0.002852080925080296,0.0002818201752311082,0.0015311405199631967,-0.002970323711156385,-0.00025969631588645573,-0.001720514531848564
1.4500000000000002,0.02433121466961326,-2.30233693563564,0.5857193489667192,-0.0016698668069300346,1.4661979433721317,0.15306766038730735,0.9999949928383798,0.0027788536799276506,0.0002754193311356132,0.00148876282120862,-0.002887715430044853,-0.00025307658461048353,-0.0016699076347467506
1.5,0.024249752872363858,-2.2267925125588826,0.5934245797832519,-0.0015886050830461287,1.5555789796981685,0.15514157227400402,0.9999952502137521,0.0027076652287045147,0.00026918173506655765,0.0014476326500911943,-0.002807225830434739,-0.00024660156956373357,-0.0016207024359515432
