time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,mu,omega_dot_x,omega_dot_y,omega_dot_z
1.4000000000000001,0.2354080490285791,0.09743276288117922,0.9669995970550345,0.6636263142775641,0.48786506670896623,0.08630616899816583,1.1367208606728907,3.190370194349028,1.48241632427104,0.13412277574371897
1.4500000000000002,0.26038100284024446,0.06272472924155886,0.9634654825702162,0.8189338326613003,0.5616721107823979,0.09309116834249423,1.136000536315136,2.9963918234828086,1.4637738167022853,0.1372092567417474
1.5,0.2888909678477456,0.02124679238892374,0.9571254665768084,0.9607227080923028,0.6336519884935822,0.10002015449049968,1.1417358175258654,2.6498461406040557,1.4097037159967705,0.139879326829323
1.55,0.3207191863270634,-0.02589064406963039,0.9468197804022227,1.0814792095230104,0.702109842087096,0.10707187556861317,1.1595280157744583,2.156946225803569,1.3236751975925205,0.142115869508097
1.6,0.35549857574224475,-0.07712415626116283,0.9314889636754502,1.1742441082189026,0.7655807869334339,0.11422424431682515,1.1939541051893992,1.533652963777649,1.211323400024253,0.14390258471781686
1.6500000000000001,0.3927236161968249,-0.13050913647054146,0.9103487077714802,1.2330885299472767,0.8229196291722118,0.12145437973822255,1.2466136599243276,0.8050011445418179,1.079618427417415,0.14522404179719864
1.7000000000000002,0.4317776210609704,-0.18385331763556323,0.8830432323883584,1.2535269566267406,0.8733380630100509,0.12873865415128632,1.3128331619011038,0.003313362525364072,0.9356394549031071,0.14606583816105975
1.75,0.47197448098710115,-0.2348990153009224,0.8497421752848064,1.2328229533991748,0.91637675650898,0.13605275002244804,1.3863752578564839,-0.8341891875293941,0.7852513931762504,0.14641482261209252
1.8,0.512608143808454,-0.2815262461222202,0.8111564924849849,1.1701699222715298,0.9518159770652369,0.14337172926658132,1.4681119222366228,-1.6679786737204414,0.6320298157030526,0.14625937830827002
1.85,0.5530012844352481,-0.321940756988548,0.7684675486711318,1.066740553471395,0.9795441689462709,0.15067011881264675,1.559593741176194,-2.4588401132556337,0.47667409024899576,0.14558979156675056
1.9000000000000001,0.5925453165037721,-0.35481301851352376,0.7231846260387992,0.9256103554816624,0.99940969808547,0.1579220165184469,1.655888633854724,-3.1702348806490708,0.31689708451494975,0.1443986905366638
1.9500000000000002,0.6307264366494356,-0.3793463488995217,0.6769625721524875,0.7515737847708052,1.0110772035968896,0.16510122036387834,1.7459367751862103,-3.7702264861834696,0.1477196507283274,0.14268153936049088
2.0,0.6671357962793398,-0.395270078803834,0.6314181106130579,0.5508755756552719,1.013908628219812,0.17218138389720783,1.8130766111455208,-4.23294596420048,-0.03783987936774205,0.1404371947470289
2.0500000000000003,0.7014651850227677,-0.40277057001347993,0.5879792448019328,0.3308803748452446,1.0068879704621176,0.17913620099451943,1.8406370380370405,-4.539594252548248,-0.24771412134368107,0.1376685194898581
2.1,0.7334919258291174,-0.4023837125074292,0.5477899678995488,0.09970378523594003,0.9886065151190192,0.18593962223831217,1.8298134000290642,-4.678984450766438,-0.4894304213051035,0.13438302775979818
2.15,0.7630576776998794,-0.39487505769761067,0.5116770722521046,-0.13417241922730774,0.9573218360217776,0.1925661034108677,1.8209280495914457,-4.647635588739137,-0.768532259856314,0.13059351445184417
