time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.840000,-0.165487,-2.870231,1.497866,-0.097299,0.788900,0.023714,-0.395489,-1.159087,0.280141,3.618079,1.249237,2.947322,28.391378,74.425577,-22.441415
0.850000,-0.166479,-2.862400,1.498118,-0.101068,0.777384,0.026659,-0.357897,-1.142903,0.308474,3.899366,1.984623,2.717630,27.851421,72.594765,-23.446183
0.860000,-0.167507,-2.854683,1.498400,-0.104448,0.766065,0.029878,-0.317520,-1.119435,0.334382,4.174934,2.702479,2.471761,27.221196,70.366688,-23.948463
0.870000,-0.168566,-2.847077,1.498716,-0.107410,0.755018,0.033342,-0.274421,-1.088933,0.357898,4.443637,3.393687,2.230990,26.505119,67.824023,-24.158400
0.880000,-0.169653,-2.839581,1.499068,-0.109927,0.744309,0.037028,-0.228673,-1.051651,0.379000,4.704755,4.057979,1.989512,25.704632,64.987204,-24.092476
0.890000,-0.170763,-2.832190,1.499457,-0.111975,0.734006,0.040914,-0.180354,-1.007872,0.397695,4.957453,4.692518,1.750005,24.821179,61.876664,-23.767174
0.900000,-0.171891,-2.824899,1.499887,-0.113526,0.724172,0.044974,-0.129554,-0.957908,0.414015,5.200907,5.294668,1.514979,23.856202,58.512839,-23.198977
0.910000,-0.173032,-2.817705,1.500357,-0.114558,0.714867,0.049187,-0.076366,-0.902080,0.427969,5.434672,5.863389,1.282345,22.801988,54.881053,-22.292357
0.920000,-0.174180,-2.810600,1.500871,-0.115046,0.706149,0.053528,-0.020897,-0.840765,0.439695,5.657097,6.393163,1.064785,21.670259,51.041149,-21.189524
0.930000,-0.175331,-2.803580,1.501428,-0.114969,0.698069,0.057974,0.036737,-0.774348,0.449304,5.867828,6.883601,0.859108,20.463577,47.017861,-19.920678
0.940000,-0.176478,-2.796636,1.502031,-0.114305,0.690677,0.062507,0.096418,-0.703230,0.456922,6.066127,7.332991,0.666824,19.184509,42.835924,-18.516017
0.950000,-0.177615,-2.789764,1.502679,-0.113034,0.684019,0.067107,0.158016,-0.627830,0.462689,6.251285,7.739873,0.489140,17.835617,38.520071,-17.005740
0.960000,-0.178737,-2.782953,1.503373,-0.111138,0.678134,0.071755,0.221396,-0.548590,0.466759,6.422530,8.101988,0.327161,16.421625,34.121326,-15.425105
0.970000,-0.179836,-2.776198,1.504114,-0.108600,0.673059,0.076437,0.286418,-0.465938,0.469286,6.579405,8.420833,0.181016,14.942674,29.634913,-13.798632
0.980000,-0.180906,-2.769489,1.504902,-0.105405,0.668825,0.081136,0.352934,-0.380324,0.470434,6.721175,8.694466,0.051243,13.401064,25.082348,-12.155902
0.990000,-0.181942,-2.762819,1.505736,-0.101537,0.665460,0.085841,0.420790,-0.292201,0.470366,6.847225,8.922332,-0.062146,11.799096,20.485144,-10.526494
1.000000,-0.182935,-2.756177,1.506618,-0.096985,0.662988,0.090540,0.489824,-0.202031,0.469245,6.956963,9.104092,-0.159430,10.139070,15.864816,-8.939987
1.010000,-0.183879,-2.749556,1.507547,-0.091738,0.661425,0.095222,0.559876,-0.110286,0.467271,7.050111,9.238506,-0.237336,8.415937,11.271068,-7.523226
1.020000,-0.184767,-2.742946,1.508523,-0.085785,0.660786,0.099882,0.630768,-0.017414,0.464544,7.125435,9.328309,-0.305853,6.640245,6.693773,-6.196616
1.030000,-0.185592,-2.736337,1.509545,-0.079120,0.661079,0.104511,0.702324,0.076128,0.461196,7.182752,9.372497,-0.361628,4.815195,2.150995,-4.977825
1.040000,-0.186347,-2.729721,1.510613,-0.071737,0.662310,0.109104,0.774362,0.169886,0.457350,7.221585,9.371505,-0.405828,2.943986,-2.339202,-3.884523
1.050000,-0.187025,-2.723088,1.511727,-0.063632,0.664476,0.113656,0.846693,0.263410,0.453114,7.241488,9.325948,-0.439796,1.029818,-6.758756,-2.934378
