time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
3.900000,-0.127985,2.281119,1.476403,0.058052,0.807232,-0.123305,-1.828448,-1.460327,0.038741,7.042629,4.951079,2.790992,8.413274,-11.768051,-18.087416
3.950000,-0.127374,2.319665,1.470300,-0.024426,0.740452,-0.117947,-1.466338,-1.227971,0.155761,7.237561,4.285343,1.989728,0.238996,-14.139421,-14.220993
4.000000,-0.130427,2.355165,1.464608,-0.088582,0.684435,-0.107729,-1.104692,-1.031793,0.237714,7.066528,3.537137,1.368893,-6.256469,-15.184813,-11.033932
4.050000,-0.136232,2.388109,1.459527,-0.134895,0.637272,-0.094176,-0.759686,-0.874257,0.292650,6.611914,2.766862,0.886334,-11.164959,-15.141119,-8.691303
4.100000,-0.143917,2.418892,1.455191,-0.164550,0.597009,-0.078464,-0.443501,-0.755107,0.326347,5.950032,2.023025,0.499763,-14.623375,-14.241788,-7.100664
4.150000,-0.152687,2.447810,1.451681,-0.179245,0.561762,-0.061541,-0.164682,-0.671955,0.342626,5.149576,1.342683,0.176268,-16.793750,-12.707842,-6.039283
4.200000,-0.161841,2.475068,1.449036,-0.181018,0.529814,-0.044202,0.071457,-0.620838,0.343974,4.270657,0.752241,-0.104166,-17.852852,-10.741300,-5.258221
4.250000,-0.170789,2.500791,1.447260,-0.172099,0.499678,-0.027143,0.262383,-0.596730,0.332210,3.364291,0.268553,-0.349554,-17.983100,-8.520431,-4.551728
4.300000,-0.179051,2.525036,1.446322,-0.154780,0.470140,-0.010981,0.407886,-0.593983,0.309019,2.472348,-0.099802,-0.559338,-17.363078,-6.198027,-3.791035
4.350000,-0.186267,2.547805,1.446162,-0.131311,0.440280,0.003758,0.509618,-0.606711,0.276276,1.627983,-0.351249,-0.728657,-16.158996,-3.903034,-2.928639
4.400000,-0.192182,2.569064,1.446698,-0.103818,0.409469,0.016647,0.570684,-0.629108,0.236153,0.856448,-0.490105,-0.852202,-14.518777,-1.744609,-1.982688
4.450000,-0.196648,2.588752,1.447827,-0.074242,0.377369,0.027374,0.595263,-0.655721,0.191056,0.176106,-0.525710,-0.926926,-12.569556,0.183034,-1.011621
4.500000,-0.199607,2.606801,1.449435,-0.044292,0.343897,0.035752,0.588295,-0.681679,0.143461,-0.400508,-0.471802,-0.953364,-10.417785,1.796738,-0.087701
4.550000,-0.201078,2.623142,1.451402,-0.015413,0.309201,0.041720,0.555212,-0.702901,0.095719,-0.865673,-0.346037,-0.935696,-8.150197,3.022554,0.724492
4.600000,-0.201148,2.637721,1.453607,0.011229,0.273607,0.045324,0.501727,-0.716283,0.049891,-1.215527,-0.169546,-0.880915,-5.834458,3.795973,1.381464
4.650000,-0.199955,2.650503,1.455935,0.034760,0.237573,0.046709,0.433659,-0.719856,0.007628,-1.449119,0.033561,-0.797550,-3.519143,4.063962,1.865566
4.700000,-0.197672,2.661478,1.458278,0.054595,0.201622,0.046087,0.356815,-0.712927,-0.029864,-1.567442,0.236850,-0.694359,-1.234136,3.789886,2.182425
4.750000,-0.194495,2.670665,1.460544,0.070441,0.166280,0.043722,0.276915,-0.696171,-0.061808,-1.572532,0.412549,-0.579307,1.011010,2.972855,2.353654
4.800000,-0.190628,2.678106,1.462650,0.082287,0.132004,0.039906,0.199562,-0.671672,-0.087795,-1.466341,0.534135,-0.458993,3.230027,1.718010,2.407427
4.850000,-0.186267,2.683865,1.464534,0.090397,0.099113,0.034943,0.130281,-0.642758,-0.107707,-1.249530,0.584350,-0.338565,4.976997,14.368067,5.722016
4.900000,-0.181588,2.688017,1.466145,0.095315,0.067729,0.029136,0.074609,-0.613237,-0.121651,-0.968641,1.970942,0.113208,6.630740,26.226789,8.989166
4.950000,-0.176735,2.690638,1.467448,0.097858,0.037789,0.022778,0.033417,-0.445663,-0.096386,-0.586456,3.207029,0.560352,6.195703,10.916479,5.021977
5.000000,-0.171802,2.691796,1.468423,0.098657,0.023162,0.019497,0.015964,-0.292534,-0.065616,-0.349071,3.062590,0.615406,4.747700,-2.888786,1.101085
